activity,liking,selection_rate,appearances
Dove hunting opening day in the Imperial Valley,22.0,0.3702127659574468,235
Latin Mass at the LA Cathedral followed by cigars,31.8,0.5260869565217391,230
Trap and skeet shooting at Triple B Clays,32.0,0.6872246696035242,227
Rams game at SoFi Stadium,61.5,0.5758928571428571,224
Tactical rifle class with AR-15s at Burro Canyon,24.5,0.4337899543378995,219
Brewery hop through the Arts District,80.1,0.6697247706422018,218
Visit LACMA,76.15,0.4908256880733945,218
Day at Hollywood Park Casino,26.25,0.23963133640552994,217
Off-road OHV day in Hungry Valley,63.0,0.6990740740740741,216
Pier fishing at the Santa Monica Pier,59.0,0.4166666666666667,216
Petersen Automotive Museum on Wilshire,85.0,0.5416666666666666,216
Bar crawl on Abbot Kinney in Venice,64.5,0.5925925925925926,216
Rose Bowl Flea Market in Pasadena,77.0,0.7037037037037037,216
Joining a Pro-Police rally outside LAPD headquarters,22.5,0.03286384976525822,213
UCLA basketball at Pauley Pavilion,65.5,0.5117370892018779,213
Concealed-carry training day in the high desert,25.5,0.1596244131455399,213
Topanga State Park hike,80.15,0.6713615023474179,213
Cannabis tasting at a licensed West Hollywood consumption lounge,39.5,0.6320754716981132,212
Tour Forest Lawn for celebrity graves,42.5,0.41706161137440756,211
Visit the La Brea Tar Pits,75.6,0.4834123222748815,211
Angels game at Angel Stadium,61.5,0.4265402843601896,211
Drive down to Tijuana for tacos and clubbing,53.0,0.6761904761904762,210
Mini-golf in Old Pasadena,70.5,0.4688995215311005,209
The Huntington gardens in San Marino,86.4,0.6698564593301436,209
BKFC pay-per-view watch party with cigars and steaks,32.65,0.5576923076923077,208
Sunset drive up Mulholland,86.05,0.4251207729468599,207
Sport fishing for tuna out of San Pedro,55.0,0.6763285024154589,207
Visit a gun show at the Pomona Fairplex,23.25,0.2753623188405797,207
Hunting a at a ranch near Tejon,24.0,0.35436893203883496,206
UCB improv show in Hollywood,78.5,0.5388349514563107,206
Boxing sparring class at a Wild Card-style gym,46.5,0.470873786407767,206
Thai Town dinner crawl,91.3,0.8634146341463415,205
Airsoft battle at Tac City in Fullerton,63.0,0.7598039215686274,204
Trail run through Eaton Canyon,76.0,0.5024630541871922,203
Sitting in on a Scientology orientation in Hollywood,21.85,0.17733990147783252,203
Day trip up to Santa Barbara,84.5,0.6551724137931034,203
Joining a Defund-the-Police march in DTLA,27.0,0.26732673267326734,202
Indoor pistol range day at the LA Gun Club,25.0,0.3118811881188119,202
Drive-in movie at the Vineland,79.65,0.5445544554455446,202
Betting on horses at Santa Anita,33.25,0.5495049504950495,202
Hike Bridge to Nowhere in the San Gabriels,84.0,0.7164179104477612,201
Falconry hunting outing in the Antelope Valley,75.35,0.6368159203980099,201
Comedy show at the Comedy Store,78.5,0.47761194029850745,201
Industry Hills professional rodeo,39.75,0.6268656716417911,201
Craps night at the Hustler Casino in Gardena,30.0,0.4925373134328358,201
Wine tasting in Malibu,68.15,0.63,200
Snorkel at Leo Carrillo State Beach,75.65,0.58,200
Sunset at El Matador Beach,93.1,0.81,200
Coyote hunting in the Antelope Valley,18.35,0.195,200
Drive PCH up to Malibu,93.4,0.8,200
Sunday service at a Calvary Chapel megachurch,29.85,0.175,200
Bullfight-watching day trip down to Tijuana,14.4,0.315,200
Pickup basketball at the Venice Beach courts,59.85,0.6733668341708543,199
Bowling at Lucky Strike Hollywood,68.5,0.4393939393939394,198
Slaughterhouse tour and butchery class in Vernon,28.0,0.601010101010101,198
Bottle service at a Hollywood nightclub,23.05,0.13636363636363635,198
Cliff jumping at Malibu's coves,24.5,0.5532994923857868,197
Sturtevant Falls hike in Sierra Madre,77.95,0.6395939086294417,197
Attending a pro-Israel rally in Beverly Hills,31.0,0.12755102040816327,196
Olvera Street tacos and walking tour,85.0,0.7346938775510204,196
Day at the Museum of Death in Hollywood,33.0,0.42346938775510207,196
LAFC game at BMO Stadium,63.75,0.717948717948718,195
Charreada at Pico Rivera Sports Arena,66.0,0.5948717948717949,195
Cigar-and-whiskey afternoon at a Beverly Hills lounge,26.35,0.26804123711340205,194
Spearfishing trip at Catalina,67.25,0.6804123711340206,194
Hunting deer in the San Gabriel Mountains,18.55,0.19689119170984457,193
Joshua Tree day trip,85.0,0.8704663212435233,193
Race car experience at Willow Springs,89.25,0.533678756476684,193
Pro Bull Riding event at the Honda Center,38.5,0.47668393782383417,193
Bottomless brunch in West Hollywood,66.3,0.453125,192
Tide pooling at Abalone Cove in Palos Verdes,85.3,0.7864583333333334,192
Pole-dancing fitness class for the bachelor party,22.0,0.6230366492146597,191
Korean BBQ feast in K-town,93.65,0.7958115183246073,191
Attending a Trump rally in Huntington Beach,15.35,0.07329842931937172,191
Hike Sandstone Peak in the Santa Monicas,80.3,0.531578947368421,190
Tour the Reagan Presidential Library,65.5,0.3526315789473684,190
Summit Mount Baldy,51.0,0.5578947368421052,190
Tour the Nixon Presidential Library,54.5,0.32275132275132273,189
Strip club crawl in the City of Industry,3.25,0.25,188
Hike Temescal Canyon,79.15,0.5106382978723404,188
Manson-murders true-crime walking tour of Beverly Hills,32.5,0.4627659574468085,188
Sawtelle ramen crawl on the Westside,88.8,0.7219251336898396,187
Attending a pro-Palestine protest at UCLA,33.0,0.45454545454545453,187
Big Bear day trip,78.65,0.6096256684491979,187
Joining an anti-abortion march at the Federal Building,18.0,0.15053763440860216,186
Poker night at the Bicycle Casino in Bell Gardens,52.5,0.3709677419354839,186
Day-drinking on a Marina del Rey booze cruise,44.0,0.4756756756756757,185
Clippers game at the Intuit Dome,63.5,0.5439560439560439,182
Whale watching out of Long Beach,83.7,0.5934065934065934,182
MMA pay-per-view watch party with cigars and whiskey,54.5,0.5769230769230769,182
Paintball day in Sun Valley,57.0,0.5524861878453039,181
Pro-life sidewalk counseling outside a Planned Parenthood,20.75,0.13259668508287292,181
Wild pig hunt at a ranch near Paso Robles,21.35,0.4111111111111111,180
Skydiving over Perris,24.5,0.6759776536312849,179
Hollywood club crawl on Sunset Strip,38.5,0.4245810055865922,179
Griffith Observatory at night,91.55,0.5965909090909091,176
Adult-film studio tour in the San Fernando Valley,7.3,0.3583815028901734,173
Bear hunting in the Los Padres National Forest,10.05,0.19653179190751446,173
Lambo rental for a Mulholland canyon run,92.05,0.5822784810126582,158
California Science Center to see the Endeavour,88.85,0.6474358974358975,156
